,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
120,Holy Cross,33,16,17,.485,-6.20,-3.77,6,12,8,6,6,11,2216,2296,,65.0,102.1,.231,.365,.544,43.5,60.1,11.1,12.4,.527,14.7,20.5,.154
121,Houston Baptist,30,12,18,.400,-8.90,-5.08,8,10,9,4,3,13,2465,2484,,75.0,107.3,.418,.310,.542,52.2,51.9,10.2,4.5,.509,16.3,35.0,.282
122,Houston,32,30,2,.938,18.87,3.31,16,2,19,1,10,1,2453,1955,,67.7,113.3,.315,.429,.558,55.4,56.5,9.8,13.6,.530,14.2,34.4,.224
123,Howard,33,17,16,.515,-12.28,-9.71,10,6,6,8,9,7,2612,2580,,74.7,105.1,.362,.306,.530,48.4,49.2,7.8,11.1,.490,14.5,30.4,.261
124,Idaho State,30,11,19,.367,-13.07,-4.72,7,13,6,7,5,11,2198,2369,,68.9,106.3,.286,.432,.555,48.6,49.2,7.4,7.9,.526,15.4,26.8,.210
125,Idaho,32,5,27,.156,-18.67,-6.12,2,18,4,11,1,13,2174,2460,,67.9,99.6,.287,.384,.542,47.7,51.3,6.0,4.8,.512,17.8,24.2,.208
126,Illinois-Chicago,32,16,16,.500,-3.10,-1.93,10,8,12,4,4,12,2391,2385,,71.5,103.3,.279,.455,.561,48.4,55.3,9.1,10.6,.540,17.7,24.8,.190
127,Illinois State,33,17,16,.515,-1.82,0.49,9,9,12,4,2,10,2257,2314,,67.9,100.0,.286,.389,.526,49.5,51.8,7.2,9.7,.495,16.3,25.5,.205
128,Illinois,33,12,21,.364,9.58,12.15,7,13,9,6,1,9,2398,2483,,71.0,101.2,.295,.375,.525,47.5,51.7,10.3,7.3,.496,16.0,29.0,.207
129,Incarnate Word,31,6,25,.194,-18.61,-4.79,1,17,5,9,0,14,2044,2355,,66.6,97.8,.362,.333,.571,46.7,49.8,8.8,5.2,.523,22.0,23.6,.293
130,Indiana State,31,15,16,.484,-2.54,0.81,7,11,9,5,4,9,2146,2218,,69.3,99.0,.361,.286,.533,48.4,45.2,9.6,6.8,.492,16.9,23.8,.264
131,Indiana,32,17,15,.531,15.05,11.30,8,12,13,5,3,9,2289,2169,,68.1,103.3,.348,.337,.538,50.8,50.8,9.4,12.1,.512,16.0,28.2,.230
132,Iona,32,17,15,.531,-4.94,-6.16,12,6,8,3,5,9,2459,2420,,71.3,107.8,.371,.436,.567,48.5,50.3,9.5,8.0,.530,15.4,25.0,.275
133,Iowa State,33,22,11,.667,17.87,8.84,9,9,12,4,5,6,2555,2257,,68.6,112.9,.299,.397,.577,50.6,54.7,10.1,12.8,.549,14.2,28.8,.219
134,Iowa,33,22,11,.667,14.50,9.83,10,10,14,4,4,6,2584,2430,,70.3,110.6,.423,.390,.568,50.7,60.2,8.7,9.3,.526,15.0,30.0,.313
135,Purdue-Fort Wayne,33,18,15,.545,-3.27,-3.41,9,7,11,5,6,9,2728,2556,,73.5,111.7,.270,.461,.587,48.9,53.0,10.1,12.3,.568,14.5,24.0,.187
136,IUPUI,32,16,16,.500,-2.60,-3.10,8,10,11,4,3,12,2434,2351,,71.3,106.8,.362,.351,.545,53.3,53.4,9.8,9.2,.512,16.6,34.9,.254
